demand_key,status,price
1032557|2026-06-01,FORMULA_NOT_FOUND,
1032566|2026-06-01,COMPONENT_ERROR,
1032568|2026-06-01,SPOT_NOT_CALCULATED,
1032666|2026-06-01,FORMULA_NOT_FOUND,
1032713|2026-06-01,FORMULA_NOT_FOUND,
1032848|2026-06-01,FORMULA_NOT_FOUND,
1032875|2026-06-01,FORMULA_NOT_FOUND,
1032915|2026-06-01,COMPONENT_ERROR,
1032970|2026-06-01,FORMULA_NOT_FOUND,
1032990|2026-06-01,SPOT_NOT_CALCULATED,
1033075|2026-06-01,FORMULA_NOT_FOUND,
1033199|2026-06-01,CALCULATED,90701.75538832
1033203|2026-06-01,FORMULA_NOT_FOUND,
1033229|2026-06-01,FORMULA_NOT_FOUND,
1033243|2026-06-01,FORMULA_NOT_FOUND,
1033269|2026-06-01,FORMULA_NOT_FOUND,
1033294|2026-06-01,FORMULA_NOT_FOUND,
1033352|2026-06-01,FORMULA_NOT_FOUND,
1033357|2026-06-01,SPOT_NOT_CALCULATED,
1033362|2026-06-01,FORMULA_NOT_FOUND,
1033371|2026-06-01,FORMULA_NOT_FOUND,
1033381|2026-06-01,FORMULA_NOT_FOUND,
1033446|2026-06-01,CALCULATED,86609.5725
1033455|2026-06-01,FORMULA_NOT_FOUND,
1033466|2026-06-01,SPOT_NOT_CALCULATED,
1033510|2026-06-01,FORMULA_NOT_FOUND,
1033573|2026-06-01,COMPONENT_ERROR,
1033604|2026-06-01,COMPONENT_ERROR,
1033619|2026-06-01,SPOT_NOT_CALCULATED,
1033621|2026-06-01,FORMULA_NOT_FOUND,
1033637|2026-06-01,FORMULA_NOT_FOUND,
1033654|2026-06-01,SPOT_NOT_CALCULATED,
1033693|2026-06-01,COMPONENT_ERROR,
1033755|2026-06-01,CALCULATED,19983.7500016352
1033780|2026-06-01,COMPONENT_ERROR,
1033847|2026-06-01,COMPONENT_ERROR,
1033874|2026-06-01,COMPONENT_ERROR,
1033877|2026-06-01,COMPONENT_ERROR,
1033901|2026-06-01,CALCULATED,125977.56
1033903|2026-06-01,COMPONENT_ERROR,
1033914|2026-06-01,CALCULATED,98399.45502
1033930|2026-06-01,COMPONENT_ERROR,
1033975|2026-06-01,CALCULATED,78530.6479
1033986|2026-06-01,COMPONENT_ERROR,
1034005|2026-06-01,COMPONENT_ERROR,
1034006|2026-06-01,COMPONENT_ERROR,
1034009|2026-06-01,COMPONENT_ERROR,
1034017|2026-06-01,COMPONENT_ERROR,
1034039|2026-06-01,CALCULATED,118062.72459378238
1034046|2026-06-01,COMPONENT_ERROR,
1034066|2026-06-01,COMPONENT_ERROR,
1034068|2026-06-01,COMPONENT_ERROR,
1034078|2026-06-01,CALCULATED,93920.194
1034150|2026-06-01,COMPONENT_ERROR,
1034179|2026-06-01,COMPONENT_ERROR,
1034187|2026-06-01,COMPONENT_ERROR,
1034192|2026-06-01,CALCULATED,85950.10875
1034200|2026-06-01,COMPONENT_ERROR,
1034211|2026-06-01,CALCULATED,84411.36
1034213|2026-06-01,CALCULATED,84411.36
1034214|2026-06-01,CALCULATED,65994.336
1034215|2026-06-01,CALCULATED,65994.336
1034246|2026-06-01,COMPONENT_ERROR,
1034253|2026-06-01,COMPONENT_ERROR,
1034254|2026-06-01,COMPONENT_ERROR,
1034255|2026-06-01,COMPONENT_ERROR,
1034256|2026-06-01,COMPONENT_ERROR,
1034306|2026-06-01,FORMULA_NOT_FOUND,
1034307|2026-06-01,FORMULA_NOT_FOUND,
1034310|2026-06-01,COMPONENT_ERROR,
1034349|2026-06-01,COMPONENT_ERROR,
1034363|2026-06-01,COMPONENT_ERROR,
1034376|2026-06-01,CALCULATED,29930.0
1034427|2026-06-01,COMPONENT_ERROR,
1034458|2026-06-01,COMPONENT_ERROR,
1034498|2026-06-01,CALCULATED_WITH_FORMULA_CONFLICT,41566.2
1034520|2026-06-01,CALCULATED,91797.354
1034557|2026-06-01,COMPONENT_ERROR,
1034703|2026-06-01,COMPONENT_ERROR,
1034704|2026-06-01,CALCULATED,16060.0
1034758|2026-06-01,COMPONENT_ERROR,
1034840|2026-06-01,COMPONENT_ERROR,
1034849|2026-06-01,COMPONENT_ERROR,
1034854|2026-06-01,COMPONENT_ERROR,
1034859|2026-06-01,COMPONENT_ERROR,
1034868|2026-06-01,CALCULATED,21848.900001562197
1034886|2026-06-01,COMPONENT_ERROR,
1034910|2026-06-01,COMPONENT_ERROR,
1034912|2026-06-01,COMPONENT_ERROR,
1034952|2026-06-01,COMPONENT_ERROR,
1034958|2026-06-01,COMPONENT_ERROR,
1034960|2026-06-01,COMPONENT_ERROR,
1034962|2026-06-01,COMPONENT_ERROR,
1034963|2026-06-01,COMPONENT_ERROR,
1034970|2026-06-01,COMPONENT_ERROR,
1034998|2026-06-01,COMPONENT_ERROR,
1035000|2026-06-01,CALCULATED,25550.0
1035016|2026-06-01,CALCULATED,21316.0000022192
1035018|2026-06-01,CALCULATED,10950.0
1035039|2026-06-01,COMPONENT_ERROR,
1035061|2026-06-01,CALCULATED,108454.64
1035062|2026-06-01,CALCULATED,118041.0
1035071|2026-06-01,COMPONENT_ERROR,
1035099|2026-06-01,CALCULATED,20516.649968026
1035132|2026-06-01,COMPONENT_ERROR,
1035133|2026-06-01,CALCULATED,80929.1943
1035153|2026-06-01,COMPONENT_ERROR,
1035164|2026-06-01,COMPONENT_ERROR,
1035165|2026-06-01,COMPONENT_ERROR,
1035175|2026-06-01,COMPONENT_ERROR,
1035186|2026-06-01,CALCULATED,95699.24488
1035188|2026-06-01,CALCULATED,95699.24488
1035189|2026-06-01,CALCULATED,95699.24488
1035190|2026-06-01,CALCULATED,95699.24488
1035191|2026-06-01,CALCULATED,98399.45502
1035192|2026-06-01,CALCULATED,98399.45502
1035193|2026-06-01,CALCULATED,98399.45502
1035194|2026-06-01,CALCULATED,98399.45502
1035196|2026-06-01,CALCULATED,94220.1291
1035198|2026-06-01,CALCULATED,96143.29804
1035228|2026-06-01,CALCULATED,8.03
1035253|2026-06-01,CALCULATED,81226.63863999999
1035254|2026-06-01,CALCULATED,81226.63863999999
1035255|2026-06-01,CALCULATED,81226.63863999999
1035256|2026-06-01,CALCULATED,81226.63863999999
1035281|2026-06-01,COMPONENT_ERROR,
1035286|2026-06-01,FORMULA_NOT_FOUND,
1035288|2026-06-01,CALCULATED,119662.03984840862
1035345|2026-06-01,CALCULATED,84851.0025
1035351|2026-06-01,CALCULATED,72101.37
1035354|2026-06-01,CALCULATED,84851.0025
1035374|2026-06-01,CALCULATED,21316.0000022192
1035375|2026-06-01,CALCULATED,21848.900001562197
1035379|2026-06-01,CALCULATED,19983.7500016352
1035393|2026-06-01,COMPONENT_ERROR,
1035413|2026-06-01,CALCULATED,84851.0025
1035433|2026-06-01,CALCULATED,81226.63863999999
1035435|2026-06-01,COMPONENT_ERROR,
1035438|2026-06-01,CALCULATED,5959.60050046
1035441|2026-06-01,COMPONENT_ERROR,
1035453|2026-06-01,FORMULA_NOT_FOUND,
1035551|2026-06-01,CALCULATED,119662.03984840862
1035564|2026-06-01,COMPONENT_ERROR,
1035582|2026-06-01,COMPONENT_ERROR,
1035668|2026-06-01,CALCULATED,29811.875939592243
1035675|2026-06-01,COMPONENT_ERROR,
1035676|2026-06-01,COMPONENT_ERROR,
1035715|2026-06-01,COMPONENT_ERROR,
1035722|2026-06-01,CALCULATED,6716.0
1035737|2026-06-01,COMPONENT_ERROR,
1035748|2026-06-01,CALCULATED,29930.0
1035774|2026-06-01,COMPONENT_ERROR,
1035782|2026-06-01,CALCULATED,95151.85
1035787|2026-06-01,CALCULATED,19983.7500016352
1035814|2026-06-01,COMPONENT_ERROR,
1035842|2026-06-01,CALCULATED,84851.0025
1035856|2026-06-01,COMPONENT_ERROR,
1035886|2026-06-01,CALCULATED,21848.900001562197
1035997|2026-06-01,COMPONENT_ERROR,
1036023|2026-06-01,COMPONENT_ERROR,
1036030|2026-06-01,COMPONENT_ERROR,
1036031|2026-06-01,COMPONENT_ERROR,
1036044|2026-06-01,COMPONENT_ERROR,
1036080|2026-06-01,COMPONENT_ERROR,
1036081|2026-06-01,COMPONENT_ERROR,
1036092|2026-06-01,COMPONENT_ERROR,
1036100|2026-06-01,CALCULATED,94220.1291
1036111|2026-06-01,CALCULATED,64658.12210000001
1036117|2026-06-01,COMPONENT_ERROR,
1036135|2026-06-01,COMPONENT_ERROR,
1036149|2026-06-01,COMPONENT_ERROR,
1036161|2026-06-01,CALCULATED,19983.7500016352
1036257|2026-06-01,CALCULATED,97362.26698770492
1036281|2026-06-01,CALCULATED,96143.29804
1036860|2026-06-01,SPOT_NOT_CALCULATED,
1037109|2026-06-01,COMPONENT_ERROR,
1037190|2026-06-01,COMPONENT_ERROR,
1037235|2026-06-01,CALCULATED,87049.215
1037402|2026-06-01,COMPONENT_ERROR,
1037421|2026-06-01,COMPONENT_ERROR,
1037422|2026-06-01,COMPONENT_ERROR,
1037424|2026-06-01,COMPONENT_ERROR,
1037426|2026-06-01,COMPONENT_ERROR,
1037513|2026-06-01,COMPONENT_ERROR,
1037756|2026-06-01,COMPONENT_ERROR,
1037760|2026-06-01,COMPONENT_ERROR,
1037812|2026-06-01,COMPONENT_ERROR,
1037813|2026-06-01,COMPONENT_ERROR,
1037842|2026-06-01,COMPONENT_ERROR,
1038040|2026-06-01,FORMULA_NOT_FOUND,
1038041|2026-06-01,COMPONENT_ERROR,
1038044|2026-06-01,SPOT_NOT_CALCULATED,
1038058|2026-06-01,COMPONENT_ERROR,
1038060|2026-06-01,COMPONENT_ERROR,
1038063|2026-06-01,COMPONENT_ERROR,
1038101|2026-06-01,CALCULATED,94220.1291
1038102|2026-06-01,COMPONENT_ERROR,
1038103|2026-06-01,CALCULATED,152766.45552952043
1038120|2026-06-01,FORMULA_NOT_FOUND,
1038127|2026-06-01,CALCULATED,75089.87028
1038130|2026-06-01,COMPONENT_ERROR,
1038135|2026-06-01,CALCULATED,81638.45137953658
1038152|2026-06-01,COMPONENT_ERROR,
1038186|2026-06-01,COMPONENT_ERROR,
1038189|2026-06-01,COMPONENT_ERROR,
1038191|2026-06-01,COMPONENT_ERROR,
1038196|2026-06-01,CALCULATED,117139.23737195836
1038207|2026-06-01,COMPONENT_ERROR,
1038214|2026-06-01,COMPONENT_ERROR,
1038220|2026-06-01,CALCULATED,21316.0000022192
1038228|2026-06-01,COMPONENT_ERROR,
1038243|2026-06-01,CALCULATED,20783.099996642
1038253|2026-06-01,COMPONENT_ERROR,
1038255|2026-06-01,COMPONENT_ERROR,
1038262|2026-06-01,CALCULATED,152304.7119186084
1038268|2026-06-01,COMPONENT_ERROR,
1038281|2026-06-01,COMPONENT_ERROR,
1038295|2026-06-01,COMPONENT_ERROR,
1038297|2026-06-01,COMPONENT_ERROR,
1038298|2026-06-01,COMPONENT_ERROR,
1038300|2026-06-01,CALCULATED,117139.23737195836
1038301|2026-06-01,COMPONENT_ERROR,
1038306|2026-06-01,COMPONENT_ERROR,
1038308|2026-06-01,COMPONENT_ERROR,
1038322|2026-06-01,COMPONENT_ERROR,
1038343|2026-06-01,CALCULATED,98399.45502
1038350|2026-06-01,SPOT_NOT_CALCULATED,
1038354|2026-06-01,CALCULATED,81226.63863999999
1038384|2026-06-01,COMPONENT_ERROR,
1038417|2026-06-01,COMPONENT_ERROR,
1038435|2026-06-01,COMPONENT_ERROR,
1038450|2026-06-01,COMPONENT_ERROR,
1038455|2026-06-01,COMPONENT_ERROR,
1038462|2026-06-01,COMPONENT_ERROR,
1038466|2026-06-01,COMPONENT_ERROR,
1038469|2026-06-01,CALCULATED,19983.7500016352
1038472|2026-06-01,COMPONENT_ERROR,
1038497|2026-06-01,COMPONENT_ERROR,
1038518|2026-06-01,CALCULATED,81226.63863999999
1038529|2026-06-01,COMPONENT_ERROR,
1038537|2026-06-01,COMPONENT_ERROR,
1038560|2026-06-01,COMPONENT_ERROR,
1038565|2026-06-01,CALCULATED,80929.1943
1038572|2026-06-01,CALCULATED,96143.29804
1038573|2026-06-01,COMPONENT_ERROR,
1038575|2026-06-01,COMPONENT_ERROR,
1038577|2026-06-01,CALCULATED,8.03
1038587|2026-06-01,CALCULATED,59087.952
1038604|2026-06-01,COMPONENT_ERROR,
1038605|2026-06-01,CALCULATED,87049.215
1038608|2026-06-01,CALCULATED,119217.08362106238
1038614|2026-06-01,COMPONENT_ERROR,
1038624|2026-06-01,CALCULATED,95699.24488
1038629|2026-06-01,COMPONENT_ERROR,
1038645|2026-06-01,SPOT_NOT_CALCULATED,
1038650|2026-06-01,COMPONENT_ERROR,
1038664|2026-06-01,COMPONENT_ERROR,
1038866|2026-06-01,SPOT_NOT_CALCULATED,
1038931|2026-06-01,FORMULA_NOT_FOUND,
1039005|2026-06-01,COMPONENT_ERROR,
1039519|2026-06-01,FORMULA_NOT_FOUND,
1039563|2026-06-01,FORMULA_NOT_FOUND,
1039617|2026-06-01,SPOT_NOT_CALCULATED,
1039804|2026-06-01,COMPONENT_ERROR,
1039824|2026-06-01,COMPONENT_ERROR,
1039825|2026-06-01,COMPONENT_ERROR,
1040627|2026-06-01,FORMULA_NOT_FOUND,
1041141|2026-06-01,FORMULA_NOT_FOUND,
1041145|2026-06-01,FORMULA_NOT_FOUND,
1041150|2026-06-01,CALCULATED,44773.569189620546
1041162|2026-06-01,FORMULA_NOT_FOUND,
1041175|2026-06-01,FORMULA_NOT_FOUND,
1041176|2026-06-01,FORMULA_NOT_FOUND,
1041184|2026-06-01,FORMULA_NOT_FOUND,
1041185|2026-06-01,FORMULA_NOT_FOUND,
1041243|2026-06-01,SPOT_NOT_CALCULATED,
1041244|2026-06-01,SPOT_NOT_CALCULATED,
