"row_id","period","customer_asv","customer","mtr_nsi_code","mtr_nsi_name","contract","currency","forecast","country","region","market","client_id","client_name"
"1034868","2026-08-01 00:00:00","286901","ООО ""СИТИ БУНКЕР""","241582","Остаток кубовый нефтехимии КОН-92 (смола нефтяная тяжелая) ТУ 38.48424318-03-2000","Formula","RUB","336","Russian Federation","The Leningrad Area","RF + CIS","CL-10211","Клиент 211"
"1034882","2026-08-01 00:00:00","13427","ООО ""ГАЗПРОМ СПГ ПОРТОВАЯ""","977354","Этилен ГОСТ 25070-2013","Formula","RUB","12","Russian Federation","The Nizhniy Novgorod","RF + CIS","CL-10055","Клиент 055"
"1034886","2026-08-01 00:00:00","50711","ОАО ""Могилевхимволокно""","723863","Кислота терефталевая очищенная г/п ТУ 2477-012-00209421-2003","Formula","RUB","1700","Belarus","Mogilevskaya oblast","RF + CIS","CL-10346","Клиент 346"
"1034910","2026-08-01 00:00:00","316224","ООО ""ДКУ""","1602311","Полиэтилентерефталат VIVILEN rPET, г/п, втор. сырья 23,5 % ТУ 20.16.40-021-39989731-2021","Formula","RUB","132","Russian Federation","The Kaluga Area","RF + CIS","CL-10273","Клиент 273"
"1034912","2026-08-01 00:00:00","285736","ООО ""ПЭТ ПЛАСТ""","1203330","Полиэтилентерефталат VIVILEN rPET г/п втор сырья 13,3 % ТУ 20.16.40-021-39989731-2021","Formula","RUB","240","Russian Federation","The Moscow Area","RF + CIS","CL-10209","Клиент 209"
"1034958","2026-08-01 00:00:00","135365","ООО ""ЕВРОПЛАСТ-ДОН""","721362","Полиэтилентерефталат высоковязкий гранулят г/п ТУ 2226-008-39989731-2009","Formula","RUB","264","Russian Federation","The Rostov Area","RF + CIS","CL-10059","Клиент 059"
"1034960","2026-08-01 00:00:00","307232","ООО ""ЕВРОПЛАСТ-УРАЛ""","721362","Полиэтилентерефталат высоковязкий гранулят г/п ТУ 2226-008-39989731-2009","Formula","RUB","263","Russian Federation","The Sverdlovsk Area","RF + CIS","CL-10262","Клиент 262"
"1034962","2026-08-01 00:00:00","135365","ООО ""ЕВРОПЛАСТ-ДОН""","1203330","Полиэтилентерефталат VIVILEN rPET г/п втор сырья 13,3 % ТУ 20.16.40-021-39989731-2021","Formula","RUB","220","Russian Federation","The Rostov Area","RF + CIS","CL-10059","Клиент 059"
"1034963","2026-08-01 00:00:00","307232","ООО ""ЕВРОПЛАСТ-УРАЛ""","1203330","Полиэтилентерефталат VIVILEN rPET г/п втор сырья 13,3 % ТУ 20.16.40-021-39989731-2021","Formula","RUB","242","Russian Federation","The Sverdlovsk Area","RF + CIS","CL-10262","Клиент 262"
"1034970","2026-08-01 00:00:00","287629","ООО ""ЧЕРНОГОЛОВСКИЙ ИСТОЧНИК""","1602311","Полиэтилентерефталат VIVILEN rPET, г/п, втор. сырья 23,5 % ТУ 20.16.40-021-39989731-2021","Formula","RUB","110","Russian Federation","The Moscow Area","RF + CIS","CL-10213","Клиент 213"
"1034998","2026-08-01 00:00:00","11291","ООО ""ДХЗ - ПРОИЗВОДСТВО""","1182642","Фракция альфа-олефинов C12-C14 ТУ 2411-180-05766801-2014","Formula","RUB","96","Russian Federation","Tatarstan Republic","RF + CIS","CL-10014","Клиент 014"
"1035000","2026-08-01 00:00:00","302480","ООО ""ХИМТЕХСЕРВИС""","1180328","Фракция изоолефинов C7-C8 ТУ 20.14.11-241-05766801-2020","Formula","RUB","240","Russian Federation","Tatarstan Republic","RF + CIS","CL-10252","Клиент 252"
"1035016","2026-08-01 00:00:00","286901","ООО ""СИТИ БУНКЕР""","1464690","Абсорбент 50/370 марка Б, ТУ 20.14.11-244-05766801-2020 изм.2","Formula","RUB","1040","Russian Federation","Tatarstan Republic","RF + CIS","CL-10211","Клиент 211"
"1035018","2026-08-01 00:00:00","70440","ООО ""ПКФ НЕФТЕХИМИК""","1058832","Абсорбент-М, марка D, ТУ 2435-002-39989731-2006 с изм. 1-3","Formula","RUB","20","Russian Federation","Highlands-Altay Rep.","RF + CIS","CL-10374","Клиент 374"
"1035039","2026-08-01 00:00:00","298409","ЗАО ""АТЛАНТ""","1264450","Полистирол, марка 825ESM ТУ 20.16.20-224-05766801-2020","Formula","RUB","91","Belarus","Minskaya oblast","RF + CIS","CL-10246","Клиент 246"
"1035061","2026-08-01 00:00:00","14954","ООО ""ЗПИ ""АЛЬТЕРНАТИВА""","721362","Полиэтилентерефталат высоковязкий гранулят г/п ТУ 2226-008-39989731-2009","Formula","RUB","22","Russian Federation","Highlands-Altay Rep.","RF + CIS","CL-10085","Клиент 085"
"1035062","2026-08-01 00:00:00","14954","ООО ""ЗПИ ""АЛЬТЕРНАТИВА""","1182568","Полистирол, марка 525M ТУ 20.16.20-224-05766801-2020","Formula","RUB","22","Russian Federation","Highlands-Altay Rep.","RF + CIS","CL-10085","Клиент 085"
