"quote_type","quote_name","tech_quote_name","quote_code","quote_date","quote_currency","quote_val","tech_load_ts"
"ППР","HDPE IM FD NWE","hdpe im fd nwe","938751759","2026-06-01 00:00:00","EUR","1883.60656","2026-06-04 00:00:49"
"ППР","HDPE IM FD NWE","hdpe im fd nwe","938751759","2026-05-01 00:00:00","EUR","2062.68639","2026-05-07 00:00:44"
"ППР","MEG CFR China","meg cfr china","938750840","2026-05-01 00:00:00","USD","631.0882","2026-05-07 00:00:44"
"ППР","HDPE IM CFR China","hdpe im cfr china","938750747","2026-05-01 00:00:00","USD","1151.25426","2026-05-07 00:00:44"
"ППР","HDPE Pipe FD NWE","hdpe pipe fd nwe","938750601","2027-01-01 00:00:00","EUR","1440.15794","2026-07-14 11:01:10"
"ППР","HDPE Pipe FD NWE","hdpe pipe fd nwe","938750601","2026-11-01 00:00:00","EUR","1459.92646","2026-07-14 11:01:10"
"ППР","HDPE Pipe FD NWE","hdpe pipe fd nwe","938750601","2026-06-01 00:00:00","EUR","1893.44262","2026-06-04 00:00:49"
"ППР","LLDPE CFR Turkey","lldpe cfr turkey","938750572","2026-04-01 00:00:00","USD","1100","2026-03-18 11:01:15"
"ППР","HDPE BM CFR Turkey","hdpe bm cfr turkey","938751759","2026-05-01 00:00:00","USD","1709.9631","2026-05-07 00:00:44"
"ППР","IsoButanol CFR E Asia","isobutanol cfr e asia","938750627","2026-04-01 00:00:00","USD","922.56721","2026-03-18 11:01:15"
"ППР","LLDPE CFR China","lldpe cfr china","938751847","2026-05-01 00:00:00","USD","1100","2026-05-07 00:00:44"
"ППР","HDPE Pipe FD NWE","hdpe pipe fd nwe","938750601","2027-02-01 00:00:00","EUR","1427.2966","2026-07-14 11:01:10"
"ППР","HDPE Pipe FD NWE","hdpe pipe fd nwe","938750601","2026-04-01 00:00:00","EUR","1140","2026-03-18 11:01:15"
"ППР","HDPE Pipe FD NWE","hdpe pipe fd nwe","938750601","2026-12-01 00:00:00","EUR","1474.07084","2026-07-14 11:01:10"
"ППР","HDPE Pipe FD NWE","hdpe pipe fd nwe","938750601","2026-08-01 00:00:00","EUR","1447.17474","2026-07-14 11:01:10"
"ППР","HDPE Pipe FD NWE","hdpe pipe fd nwe","938750601","2026-07-01 00:00:00","EUR","1556","2026-07-03 16:00:55"
"ППР","HDPE BM CFR Turkey","hdpe bm cfr turkey","938751759","2026-06-01 00:00:00","USD","1595.90164","2026-06-04 00:00:49"
"ППР","HDPE IM CFR China","hdpe im cfr china","938750747","2026-04-01 00:00:00","USD","975","2026-03-18 11:01:15"
"ППР","HDPE BM CFR Turkey","hdpe bm cfr turkey","938751759","2026-04-01 00:00:00","USD","1130","2026-03-18 11:01:15"
"ППР","Ethylene CFR NE Asia","ethylene cfr ne asia","938751945","2026-04-01 00:00:00","USD","950","2026-03-18 11:01:15"
"ППР","Ethylene CFR NE Asia","ethylene cfr ne asia","938751945","2026-06-01 00:00:00","USD","1100.44707","2026-06-04 00:00:49"
"ППР","Ethylene CFR NE Asia","ethylene cfr ne asia","938751945","2026-05-01 00:00:00","USD","1330","2026-05-07 00:00:44"
"ППР","DEG CFR China","deg cfr china","938750381","2026-04-01 00:00:00","USD","475","2026-03-18 11:01:15"
"ППР","DEG CFR China","deg cfr china","938750381","2026-06-01 00:00:00","USD","800","2026-06-04 00:00:49"
"ППР","Butadiene CFR NE Asia","butadiene cfr ne asia","938750750","2026-06-01 00:00:00","USD","1504.9578","2026-06-04 00:00:49"
"ППР","Butadiene CFR NE Asia","butadiene cfr ne asia","938750750","2026-05-01 00:00:00","USD","2252.85432","2026-05-07 00:00:44"
"ППР","PPR CFR China","ppr cfr china","938751651","2026-05-01 00:00:00","USD","1398.13436","2026-05-07 00:00:44"
"ППР","PPH CFR Turkey","pph cfr turkey","938752035","2026-05-01 00:00:00","USD","1684.54821","2026-05-07 00:00:44"
"ППР","Butadiene CFR NE Asia","butadiene cfr ne asia","938750750","2026-04-01 00:00:00","USD","1778.37826","2026-03-18 11:01:15"
"ППР","MEG CFR China","meg cfr china","938750840","2026-04-01 00:00:00","USD","496","2026-03-18 11:01:15"
"ППР","Acrylic Acid Glacial DEL E China","acrylic acid glacial del e china","24764500007","2026-06-01 00:00:00","USD","1298.82906","2026-06-04 00:00:49"
"ППР","LDPE CFR Turkey","ldpe cfr turkey","938750908","2026-04-01 00:00:00","USD","1240","2026-03-18 11:01:15"
"ППР","Acrylic Acid Glacial DEL E China","acrylic acid glacial del e china","24764500007","2026-04-01 00:00:00","USD","919.79433","2026-03-18 11:01:15"
"ППР","Acrylic Acid Glacial DEL E China","acrylic acid glacial del e china","24764500007","2026-05-01 00:00:00","USD","1772.42416","2026-05-07 00:00:44"
"ППР","HDPE IM CFR China","hdpe im cfr china","938750747","2026-06-01 00:00:00","USD","1083.5","2026-06-04 00:00:49"
"ППР","DEG CFR China","deg cfr china","938750381","2026-05-01 00:00:00","USD","856.5443","2026-05-07 00:00:44"
