"hname","code_nsi","V_MTR_name","mtr_pf_name_lvl_2","mtr_pf_name_lvl_3","tlevel","datuv","datub","leaf"
"MT99999992","728452","Полиэтилентерефталат (пыль) ТУ 2226-006-55588670-2012","ПЭТФ","ПЭТФ Прочие","02","1900-01-01","9999-12-31","X"
"MT99999992","578602","Дибутилтерефталат ДБТФ","Прочие продукты нефтехимии","Прочие продукты нефтехимии","02","1900-01-01","9999-12-31","X"
"MT99999992","767413","Термоэластопласт бутадиен-стирольный СБС Л30-01AN/SBS L30-01AN, гранулы, б/б ТУ 2294-018-00148889-2013","ТЭП","Термоэластопласты","02","1900-01-01","9999-12-31","X"
"MT99999992","751618","Остаток кубовый ректификации стирола (КОРС) ТУ 2415-038-05762341-2012","Прочие продукты нефтехимии","Остаток кубовый ректификации стирола (КОРС)","02","1900-01-01","9999-12-31","X"
"MT99999992","769633","Абсорбент А-2 тяжелый, марка К ТУ 2411-010-48158319-2000","Прочие топливо и топливные добавки","Абсорбент А-2","02","1900-01-01","9999-12-31","X"
"MT99999992","429178","Фракция бензол-толуольная (бентол) ТУ 2415-020-53505711-2010","Прочие топливо и топливные добавки","Бентол","02","1900-01-01","9999-12-31","X"
"MT99999992","296746","Полиэтилентерефталат расплав, сорт 3, ТУ 2226-010-39989731-08","ПЭТФ","ПЭТФ Прочие","02","1900-01-01","9999-12-31","X"
"MT99999992","721355","Кислота терефталевая техническая обводненная г/п ТУ 2477-07-39989731-2007 изм.1-2","ТФК","ТФК","02","1900-01-01","9999-12-31","X"
"MT99999992","338750","Метанол технический, марка А, ГОСТ 2222-95","Прочие продукты нефтехимии","Метанол","02","1900-01-01","9999-12-31","X"
"MT99999992","1182317","***Абсорбент 50/370, марка Б ТУ 2411-139-05766801-2007","Прочие топливо и топливные добавки","Абсорбент","02","1900-01-01","9999-12-31","X"
"MT99999992","1182517","Фракция альфа-олефинов C16-C18 ТУ 20.14.11-067-05766801-2017","Прочие продукты нефтехимии","Альфа-олефины","02","1900-01-01","9999-12-31","X"
"MT99999992","817930","Добавка строительная ДСТ ЭЦ ТС № ВСК-031-2019","ТЭП","Термоэластопласты","02","1900-01-01","9999-12-31","X"
"MT00000047","721372","Полиэтилентерефталат расплав, сорт 2, ТУ 2226-010-39989731-08","ПЭТФ","ПЭТФ Прочие","02","1900-01-01","9999-12-31","X"
